date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2010-09-15,2010.0,9.0,388.91,2010.7068493150684,388.50082174795324,0.10215811007527606,0.3070201419715204,0.37071562473204267,0.3631407351856524,1.642367034145412
2010-10-15,2010.0,10.0,389.59,2010.7890410958903,388.6896228747093,0.07280555150780893,0.8275715737828477,0.7470070947463228,0.3052293039961569,1.5455652823278396
2010-11-15,2010.0,11.0,389.81,2010.8739726027397,388.88482791391107,0.20826438059259064,0.7169077054963395,0.7045030746559746,0.23769948608043023,1.464129901297143
2010-12-15,2010.0,12.0,389.6,2010.9561643835616,389.0738429920608,0.24623810475254676,0.2799189031866831,0.2780506434725112,0.16662950556212763,1.4115684048295307
2011-01-15,2011.0,1.0,389.18,2011.041095890411,389.2692691143695,-0.13214640166056169,0.042877287291105404,0.0610474877508409,0.0899883048718948,1.3909734946437737
2011-02-15,2011.0,2.0,388.96,2011.1260273972603,389.4648075903877,-0.5003354018075447,-0.004472188580166403,0.056822706883167484,0.013036137681240234,1.4091020468667066
2011-03-15,2011.0,3.0,389.18,2011.2027397260274,389.64151955849235,-0.49332872122605886,0.031809162733736684,-0.11884356980021948,-0.05384218589523471,1.4586472985335959
2011-04-15,2011.0,4.0,388.96,2011.2876712328766,389.83727186899097,-0.22650635200299873,-0.650765516987974,-0.4578704543736194,-0.1221769500090204,1.5489714206390919
2011-05-15,2011.0,5.0,389.48,2011.3698630136987,390.02681656452586,0.11175168097169437,-0.6585682454975199,-0.5502412592772998,-0.17958784475740686,1.6708696790165607
2011-06-15,2011.0,6.0,390.35,2011.454794520548,390.2227899581314,0.2762202094436821,-0.14901016757505658,-0.3538788100652823,-0.22730855013151086,1.8248402262501635
2011-07-15,2011.0,7.0,390.36,2011.5369863013698,390.41254860505956,0.1824373668038266,-0.23498597186335246,-0.025811083588450856,-0.26020504577337533,1.994611364038616
2011-08-15,2011.0,8.0,391.13,2011.6219178082192,390.6087430817725,0.11710530193782968,0.4041516162896528,0.18590281628564753,-0.2791088615022659,2.1815933620393753
2011-09-15,2011.0,9.0,391.09,2011.7068493150684,390.805049912195,0.10215811007527621,0.1827919777297211,0.049188768584429,-0.282129516879138,2.3687453636914415
2011-10-15,2011.0,10.0,390.56,2011.7890410958903,390.99513123991375,0.07280555150780879,-0.5079367914215709,-0.3608738012435424,-0.2703572524401352,2.541406434345145
2011-11-15,2011.0,11.0,390.64,2011.8739726027397,391.19165915344365,0.2082643805925906,-0.7599235340362611,-0.7823397200771751,-0.24410140743646025,2.69978555263135
2011-12-15,2011.0,12.0,390.67,2011.9561643835616,391.38195443255614,0.2462381047525465,-0.9581925373086619,-0.8717234592864429,-0.20714409243453247,2.8257805840578403
2012-01-15,2012.0,1.0,390.88,2012.0409836065573,391.5784432426522,-0.1315041640353551,-0.5669390786168833,-0.6255597064440508,-0.15958594934363646,2.9217814332468945
2012-02-15,2012.0,2.0,390.73,2012.1256830601094,391.7747664192563,-0.4996100729425303,-0.5451563463137745,-0.5435635560713195,-0.10582158243687445,2.976866014631282
2012-03-15,2012.0,3.0,390.94,2012.204918032787,391.9585247440051,-0.48902940799017985,-0.5294953360149179,-0.33242920666697273,-0.05288475738473153,2.991595845755052
2012-04-15,2012.0,4.0,392.76,2012.2896174863388,392.15506419272623,-0.21865087884215548,0.8235866861159025,0.7139047126714786,0.003278787980946163,2.969213661494027
2012-05-15,2012.0,5.0,393.61,2012.3715846994535,392.3453700511595,0.1179680297127406,1.14666191912778,1.1224981899164277,0.05418076982897446,2.909670451607019
2012-06-15,2012.0,6.0,393.46,2012.4562841530055,392.54212937653404,0.2761573543458199,0.6417132691201459,0.7098638665491421,0.10004787202535681,2.8153047640737556
2012-07-15,2012.0,7.0,393.46,2012.5382513661202,392.73264801882493,0.1805489598582131,0.5468030213168618,0.4416902854173941,0.13591118828901472,2.7066393984492207
2012-08-15,2012.0,8.0,393.02,2012.622950819672,392.92962722085184,0.11703615715319358,-0.026663378005025606,0.08514975750097165,0.16303777573398293,2.5832996746842682
2012-09-15,2012.0,9.0,393.17,2012.707650273224,393.12671816347347,0.10171545591426732,-0.05843361938769931,-0.058177944623878375,0.17927724603794104,2.453869974825566
2012-10-15,2012.0,10.0,393.41,2012.7896174863388,393.3175577256808,0.07305812163804666,0.019384152681197975,0.0021213949218008565,0.18461938376481157,2.3353999153221077
2012-11-15,2012.0,11.0,393.68,2012.8743169398906,393.5148685449547,0.2089925851650878,-0.04386113011980797,0.04193758343592435,0.18040722329504888,2.226063176959417
2012-12-15,2012.0,12.0,394.18,2012.9562841530055,393.70592089102024,0.24599061678261233,0.2280884921971733,0.04367880610783459,0.1680220286802978,2.137320723832611
2013-01-15,2013.0,1.0,393.78,2013.041095890411,393.90371352239623,-0.13214640166056124,0.008432879264319126,-0.027917565883512907,0.14842629138348684,2.0684711505683606
2013-02-15,2013.0,2.0,393.29,2013.1260273972603,394.1018977470707,-0.5003354018075438,-0.3115623452631553,-0.02310709840293157,0.12381954049811839,2.0233028945878946
2013-03-15,2013.0,3.0,393.98,2013.2027397260274,394.2809994236391,-0.4933287212260588,0.19232929758697992,0.23500314395846544,0.09904458414183637,2.003237967354299
2013-04-15,2013.0,4.0,395.01,2013.2876712328766,394.47939748279407,-0.22650635200299793,0.7571088692089347,0.4703153425495543,0.07055708518174697,2.0012908947510475
2013-05-15,2013.0,5.0,395.01,2013.3698630136987,394.6715025802544,0.11175168097169501,0.22674573877390003,0.12195921895352058,0.04347473776317656,2.0167418529089196
2013-06-15,2013.0,6.0,394.52,2013.454794520548,394.8701217225162,0.27622020944368186,-0.6263419319599279,-0.40049235415989415,0.01728205396142357,2.045238080311256
2013-07-15,2013.0,7.0,394.8,2013.5369863013698,395.0624407713698,0.1824373668038267,-0.44487813817357846,-0.3968912811967016,-0.005535777829663857,2.0801854919627605
